LotArea	OverallQual	YearBuilt	SalePrice
14100	8	1935	381000
11344	5	1958	144000
23595	7	1979	260000
9156	6	1968	185750
13526	5	1965	137000
11512	6	1959	177000
5362	5	1910	139000
11345	5	1948	137000
12936	6	1972	162000
17871	6	1967	197900
9473	8	2002	237000
7500	4	1920	68400
9808	7	2002	227000
8049	7	1990	180000
8800	5	1977	150500
9400	6	1971	139000
9638	6	1919	169000
6000	6	1939	132500
9790	6	1963	143000
36500	5	1964	190000
5664	8	2000	278000
11065	8	2006	281000
14112	5	1964	180500
1680	5	1972	119500
6600	5	1892	107500
10140	7	1976	162900
8172	5	1955	115000
8400	5	1968	138500
8700	5	1963	155000
3675	6	2005	140000
63887	10	2008	160000
7500	5	1959	154000
10762	7	1999	225000
7500	6	1942	177500
10120	8	1994	290000
8688	7	2005	232000
3363	7	2004	130000
13173	9	2006	325000
6955	7	2005	202500
8072	5	1994	138000
12000	5	1948	147000
7153	6	1991	179200
17500	7	1959	335000
8814	7	2005	203000
9572	8	1990	302000
14774	9	1999	333168
8190	4	1954	119000
11075	6	1969	206900
10226	8	2008	295493
4230	7	2006	208900
14781	8	2001	275000
10215	4	1954	111000
8400	6	1957	156500
6627	3	1949	72500
10186	7	1992	190000
5330	4	1940	82500
9986	8	2006	147000
3636	4	1922	55000
4270	3	1931	79000
6600	5	1982	130500
10440	6	1920	256000
9084	7	1998	176500
10000	8	2006	227000
10780	5	1976	132500
8877	4	1938	100000
7200	5	1938	125500
2368	5	1970	125000
9650	6	1977	167900
9246	5	1973	135000
4118	4	1941	52500
13450	7	2002	200000
9560	5	1972	128500
8294	4	1971	123000
13695	6	2003	155000
9375	8	2002	228500
7558	6	1928	177000
11103	7	2006	155835
6000	4	1920	108500
20781	7	1968	262500
15306	8	2006	283463
16196	7	1998	215000
5250	8	1872	122000
11643	5	1969	200000
9247	6	1962	171000
6000	6	1937	134900
14720	8	1995	410000
10316	7	2000	235000
10192	7	1968	170000
9477	5	1966	110000
12537	5	1971	149900
2117	6	2000	177500
16737	9	2004	315000
9842	5	1921	189000
16158	7	2005	260000
12513	4	1920	104900
8499	6	2006	156932
3180	7	2005	144152
7500	7	2000	216000
9179	7	1999	193000
2665	5	1977	127000
4435	6	2003	144000
10635	8	2003	232000
5400	4	1920	105000
9600	6	1955	165500
9750	7	1998	274300
11400	10	2001	466500
10625	7	2005	250000
10991	8	2007	239000
6292	6	1930	91000
10998	5	1941	117000
1953	6	1973	83000
9735	5	2006	167500
8212	3	1914	58500
12925	6	1970	237500
7200	7	1920	157000
25339	5	1918	112000
9060	6	1939	105000
5436	4	1922	125500
16692	7	1978	250000
8520	6	1916	136000
14892	9	2006	377500
6000	6	1941	131000
9100	7	2000	235000
8944	5	1967	124000
7838	5	1967	123000
10800	6	1905	163000
4045	7	2006	246578
12665	8	2005	281213
57200	5	1948	160000
6120	5	1920	137500
7200	5	1950	138000
6171	6	1925	137450
6000	6	1929	120000
7415	6	2004	193000
6762	7	2006	193879
15256	8	2007	282922
10410	3	1915	105000
3842	8	2004	275000
8445	5	1972	133000
8780	5	1985	112000
7740	4	1910	125500
20544	7	1986	215000
12420	7	2001	230000
9600	6	1950	140000
7200	4	1949	90000
10994	8	2005	257000
13053	6	1923	207000
3635	7	2007	175900
11340	4	1885	122500
16545	8	1998	340000
9204	5	1963	124000
16381	6	1969	223000
11700	6	1968	179900
4043	6	1977	127500
4435	6	2003	136500
19690	6	1966	274970
9503	5	1958	144000
10721	6	1959	142000
10944	7	1994	271000
10930	5	1945	140000
7200	5	1940	119000
12546	6	1981	182900
21930	5	2005	192140
4928	6	1976	143750
10800	4	1927	64500
10261	6	2000	186500
17400	5	1977	160000
8400	6	1962	174000
9000	4	1971	120500
12444	8	2008	394617
7407	6	1957	149700
11584	7	1979	197000
11526	6	1922	191000
4426	6	2004	149300
11003	10	2008	310000
8854	6	1916	121000
8500	7	2004	179600
8400	6	1966	129000
26142	5	1962	157900
10000	8	1995	240000
11767	4	1910	112000
1533	5	1970	92000
9000	5	1974	136000
9262	8	2008	287090
3675	5	2005	145000
17217	5	2006	84500
7500	7	2004	185000
7917	6	1999	175000
13175	6	1978	210000
9042	7	1941	266500
9717	5	1950	142125
9937	5	1965	147500
